,报道时间,省份,城市,新增确诊,新增出院,新增死亡,消息来源,来源链接1,来源链接2,来源链接3,备注,时间,聚类标签,latitude,longitude
5161,2020-1-31,重庆,长寿区,1.0,0.0,0.0,央视,http://news.sina.com.cn/c/2020-01-31/doc-iimxxste7867375.shtml,0.0,0.0,0.0,2020-01-31,1,29.863520067323154,107.08753107006804
5162,2020-1-31,重庆,巫溪县,1.0,0.0,0.0,央视,http://news.sina.com.cn/c/2020-01-31/doc-iimxxste7867375.shtml,0.0,0.0,0.0,2020-01-31,1,31.404880009858267,109.57640255899645
5163,2020-1-31,重庆,石柱县,1.0,0.0,0.0,央视,http://news.sina.com.cn/c/2020-01-31/doc-iimxxste7867375.shtml,0.0,0.0,0.0,2020-01-31,1,30.006108697868918,108.12041416638326
5164,2020-1-31,云南,红河州,0.0,1.0,0.0,央视,http://m.news.cctv.com/2020/01/31/ARTIQLuL0A0AGGooUFEYKyrv200131.shtml,0.0,0.0,0.0,2020-01-31,0,23.36999624760546,103.38154905257933
5165,2020-1-31,北京,西城区,3.0,0.0,0.0,央视,https://tech.sina.com.cn/roll/2020-01-31/doc-iimxyqvy9317509.shtml,0.0,0.0,0.0,2020-01-31,1,39.91812360584148,116.37251358116619
5166,2020-1-31,北京,朝阳区,2.0,0.0,0.0,央视,https://tech.sina.com.cn/roll/2020-01-31/doc-iimxyqvy9317509.shtml,0.0,0.0,0.0,2020-01-31,1,43.84064147496199,125.295401255854
5167,2020-1-31,北京,海淀区,1.0,0.0,0.0,央视,https://tech.sina.com.cn/roll/2020-01-31/doc-iimxyqvy9317509.shtml,0.0,0.0,0.0,2020-01-31,1,39.96548984110075,116.3054340544974
5168,2020-1-31,北京,大兴区,1.0,0.0,0.0,央视,https://tech.sina.com.cn/roll/2020-01-31/doc-iimxyqvy9317509.shtml,0.0,0.0,0.0,2020-01-31,1,39.73255523655448,116.348625212231
5169,2020-1-31,贵州,贵阳市,0.0,0.0,0.0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihQsIreRFe5M4ASt9QVWQ200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,0,26.653324822309752,106.63657676352776
5170,2020-1-31,贵州,遵义市,0.0,0.0,0.0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihQsIreRFe5M4ASt9QVWQ200131&fromapp=cctvnews&version=803&version=803&allow_comment=2,0.0,0.0,0.0,2020-01-31,0,27.731700878916666,106.93342774801829
5171,2020-1-31,贵州,六盘水市,0.0,0.0,0.0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihQsIreRFe5M4ASt9QVWQ200131&fromapp=cctvnews&version=803&version=803&allow_comment=3,0.0,0.0,0.0,2020-01-31,0,26.598833108257494,104.8375546023468
5172,2020-1-31,贵州,毕节市,0.0,0.0,0.0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihQsIreRFe5M4ASt9QVWQ200131&fromapp=cctvnews&version=803&version=803&allow_comment=4,0.0,0.0,0.0,2020-01-31,0,27.29021508342595,105.2985887950112
5173,2020-1-31,贵州,铜仁市,0.0,0.0,0.0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihQsIreRFe5M4ASt9QVWQ200131&fromapp=cctvnews&version=803&version=803&allow_comment=5,0.0,0.0,0.0,2020-01-31,0,27.73778645640524,109.19643889817665
5174,2020-1-31,贵州,黔东南州,0.0,0.0,0.0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihQsIreRFe5M4ASt9QVWQ200131&fromapp=cctvnews&version=803&version=803&allow_comment=6,0.0,0.0,0.0,2020-01-31,0,26.58970296982603,107.9894462407788
5175,2020-1-31,广东,广州市,6.0,0.0,0.0,央视,http://m.news.cctv.com/2020/01/31/ARTITQrmh2pCyDJ2nfpcC6GI200131.shtml,0.0,0.0,0.0,2020-01-31,2,23.135336306695006,113.27143134445974
5176,2020-1-31,广东,珠海市,8.0,0.0,0.0,央视,http://m.news.cctv.com/2020/01/31/ARTITQrmh2pCyDJ2nfpcC6GI200131.shtml,0.0,0.0,0.0,2020-01-31,2,22.27656465424921,113.58255478654918
5177,2020-1-31,广东,佛山市,1.0,0.0,0.0,央视,http://m.news.cctv.com/2020/01/31/ARTITQrmh2pCyDJ2nfpcC6GI200131.shtml,0.0,0.0,0.0,2020-01-31,1,23.02775875078891,113.12851219549718
5178,2020-1-31,广东,惠州市,3.0,0.0,0.0,央视,http://m.news.cctv.com/2020/01/31/ARTITQrmh2pCyDJ2nfpcC6GI200131.shtml,0.0,0.0,0.0,2020-01-31,1,23.116358854725593,114.4235580165817
5179,2020-1-31,广东,江门市,1.0,0.0,0.0,央视,http://m.news.cctv.com/2020/01/31/ARTITQrmh2pCyDJ2nfpcC6GI200131.shtml,0.0,0.0,0.0,2020-01-31,1,22.584603880965,113.08855619524043
5180,2020-1-31,内蒙古,呼伦贝尔市,0.0,1.0,0.0,央视,http://m.news.cctv.com/2020/01/31/ARTIzUVP6q5lEL3alPYRVP8d200131.shtml,0.0,0.0,0.0,2020-01-31,0,49.21844647556481,119.77237049946636
5181,2020-1-31,英国,英国,2.0,0.0,0.0,英格兰公共卫生部门,https://www.thepaper.cn/newsDetail_forward_5702940,0.0,0.0,0.0,2020-01-31,1,22.659551695435642,114.02281970667701
5182,2020-1-31,贵州,铜仁市,0.0,1.0,0.0,央视,http://m.news.cctv.com/2020/01/31/ARTIHgi3TmLnie94SKTVR6EB200131.shtml,0.0,0.0,0.0,2020-01-31,0,27.73778645640524,109.19643889817665
5183,2020-1-31,日本,日本,2.0,0.0,0.0,央视新闻,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiJipblZT1FIbPNAeTAf2M200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,累计15例,2020-01-31,1,33.34762609509235,120.15712904218665
5184,2020-1-31,泰国,泰国,5.0,0.0,0.0,央视新闻,http://m.news.cctv.com/2020/01/31/ARTIiogSApRxQEByXZszRwFh200131.shtml,0.0,0.0,0.0,2020-01-31,2,31.246862631826637,121.33200772715425
5185,2020-1-31,江苏,苏州市,0.0,1.0,0.0,央视新闻,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiyYaWKkMhEJ3TJG2UJJ0f200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,0,31.303564074441766,120.59241222959322
5186,2020-1-31,江苏,连云港市,0.0,1.0,0.0,央视新闻,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiyYaWKkMhEJ3TJG2UJJ0f200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,0,34.60224952526725,119.22862133316607
5187,2020-1-31,江苏,南京市,0.0,2.0,0.0,央视新闻,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiyYaWKkMhEJ3TJG2UJJ0f200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,0,32.06465288561847,118.80242172124585
5188,2020-1-31,日本,日本,2.0,0.0,0.0,央视新闻,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtitTktkxvxWy6iRniDlHEj200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,33.34762609509235,120.15712904218665
5189,2020-1-31,台湾,台湾,1.0,0.0,0.0,环球网,https://news.sina.com.cn/c/2020-01-31/doc-iimxxste7924145.shtml,0.0,0.0,0.0,2020-01-31,1,23.752816021000058,120.95346396100001
5190,2020-1-31,新加坡,新加坡,3.0,0.0,0.0,央视新闻,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtiRrr1t0sjofYVNpbDhiqV200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,35.08512447989931,118.35392823267065
5191,2020-1-31,俄罗斯,俄罗斯,2.0,0.0,0.0,央视新闻,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtiryhMAMhX0LBLwLRqu1AU200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,0.0,0.0,0.0,2020-01-31,1,34.32468433269124,109.07502923860977
5192,2020-1-31,海南,临高县,1.0,0.0,0.0,海南卫健委疫情实时动态平台,http://wst.hainan.gov.cn/yqfk/,0.0,0.0,0.0,2020-01-31,1,19.919474770278047,109.69744301483321
5193,2020-1-31,德国,德国,1.0,0.0,0.0,央视新闻,http://m.news.cctv.com/2020/01/31/ARTIFwGLdJ4Pwb4Upwb8V7kP200131.shtml,0.0,0.0,0.0,2020-01-31,1,23.13840018258247,113.32980808732859
5194,2020-1-31,广西,梧州市,0.0,0.0,0.0,梧州市卫健委,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=Arti7P22OB2u70Ry7LwuRIwA200131&fromapp=cctvnews&version=803&allow_comment=1&from=groupmessage&isappinstalled=0,0.0,0.0,0.0,2020-01-31,0,23.48274528113516,111.28551681182014
5195,2020-1-31,辽宁,沈阳市,2.0,0.0,0.0,辽宁卫健委,http://m.news.cctv.com/2020/01/31/ARTIDkO03yeu9K904JPmAZqe200131.shtml,0.0,0.0,0.0,2020-01-31,1,41.68383006919066,123.47109664482264
5196,2020-1-31,辽宁,大连市,1.0,0.0,0.0,辽宁卫健委,http://m.news.cctv.com/2020/01/31/ARTIDkO03yeu9K904JPmAZqe200131.shtml,0.0,0.0,0.0,2020-01-31,1,38.9189536667856,121.62163148459285
5197,2020-1-31,辽宁,鞍山市,1.0,0.0,0.0,辽宁卫健委,http://m.news.cctv.com/2020/01/31/ARTIDkO03yeu9K904JPmAZqe200131.shtml,0.0,0.0,0.0,2020-01-31,1,41.11505359694933,123.00137251399407
5198,2020-1-31,辽宁,锦州市,2.0,0.0,0.0,辽宁卫健委,http://m.news.cctv.com/2020/01/31/ARTIDkO03yeu9K904JPmAZqe200131.shtml,0.0,0.0,0.0,2020-01-31,1,41.10093149946208,121.13259630055518
